obs_date,mars_equities_portfolio,mars_bonds_portfolio,mars_commodities_portfolio,mars_inflation_portfolio
2/29/2000,0.055085595,0.023772072,-0.016639107,-0.004132373
3/31/2000,-0.027935214,-0.01101568,-0.013599413,0.015052539
4/30/2000,-0.027336611,7.45E-05,0.100722796,-0.004270902
5/31/2000,0.016031469,0.010418856,0.064032408,-0.010444089
6/30/2000,-0.020997666,-0.000622594,-0.08504184,-0.003048889
7/31/2000,0.035646554,0.010831155,0.138039116,-0.008931557
8/31/2000,-0.05738484,-0.003139907,-0.018671323,0.009354176
9/30/2000,-0.011275661,0.002080171,-0.003207602,-0.001156271
10/31/2000,-0.070212146,0.020124783,0.082969528,-0.013871618
11/30/2000,-0.00943988,0.017891394,-0.025621574,-0.013263004
12/31/2000,0.020083281,0.001798949,-0.05941818,0.016172068
1/31/2001,-0.085350928,0.013697744,-0.017899639,0.000539321
2/28/2001,-0.052135463,0.000461868,-0.043772069,0.009007768
3/31/2001,0.064705114,-0.025953963,0.048903938,0.025955078
4/30/2001,-0.009470831,-0.00214192,-0.032076269,0.005258766
5/31/2001,-0.028383342,0.000431404,-0.077936307,-0.013801315
6/30/2001,-0.024401394,0.021380632,-0.000756363,-0.01114755
7/31/2001,-0.067020423,0.014811153,0.00658584,-0.010432229
8/31/2001,-0.096078637,0.012715089,-0.118370096,-0.007005781
9/30/2001,0.022839544,0.028968795,-0.053790745,-0.015948464
10/31/2001,0.058968637,-0.027172681,-0.056821097,0.017236881
11/30/2001,0.009576234,-0.017094731,-0.014842294,0.008283541
12/31/2001,-0.020716182,0.002889725,-0.033116025,-0.002263922
1/31/2002,-0.010856876,0.008867549,0.041410293,0.002087723
2/28/2002,0.03845413,-0.026870653,0.125075367,0.030673933
3/31/2002,-0.047557247,0.021380687,0.009420154,-0.010675709
4/30/2002,-0.011540858,0.00419301,-0.045988471,0.00133134
5/31/2002,-0.081536819,0.019592953,0.032270132,-0.01002596
6/30/2002,-0.089445269,0.02333043,0.004221167,-0.00648373
7/31/2002,0.000288207,0.025600967,0.057360877,-0.002381354
8/31/2002,-0.118389155,0.034270236,0.043247782,-0.013288305
9/30/2002,0.069940061,-0.013559034,-0.049715584,0.001804705
10/31/2002,0.050931187,-0.01420535,-0.003227751,0.00906262
11/30/2002,-0.067170319,0.031004993,0.080800995,-0.005981682
12/31/2002,-0.037775104,-0.002152447,0.085088302,0.021127176
1/31/2003,-0.016718092,0.020088327,0.113525993,0.010162925
2/28/2003,-0.005401498,-0.004931176,-0.156592031,-0.008400663
3/31/2003,0.079464537,0.001809475,-0.064287135,-0.001737167
4/30/2003,0.041424474,0.036453656,0.090662299,-0.010235657
5/31/2003,0.02039844,-0.011184023,0.001366743,-0.002235332
6/30/2003,0.027556689,-0.04944398,0.006326279,0.031345337
7/31/2003,0.02335279,-0.005661553,0.039287796,0.005495932
8/31/2003,-0.016458647,0.031882385,-0.042539961,-0.01044931
9/30/2003,0.052038406,-0.021125855,0.020876301,0.033149236
10/31/2003,0.005759616,0.001625809,0.024539686,-0.005917044
11/30/2003,0.043349508,0.010700966,0.059755253,-0.006257751
